Alex De Minaur,2016-0083,7
Kevin Krawietz,2016-0083,5
Steve Darcis,2016-0083,5
David Pichler,2016-0083,3
Alexey Vatutin,2016-0083,3
Tim Puetz,2016-0083,3
Oscar Otte,2016-0083,3
Franko Skugor,2016-0083,3
Rene Schulte,2016-0083,2
Florian Mayer,2016-0083,2
Jurgen Melzer,2016-0083,2
Daniil Medvedev,2016-0083,2
Matthias Bachinger,2016-0083,2
Jurij Rodionov,2016-0083,1
Remi Boutillier,2016-0083,1
Tristan Samuel Weissborn,2016-0083,1
Sebastian Ofner,2016-0083,1
Mats Moraing,2016-0083,1
Yannick Hanfmann,2016-0083,1
Marius Copil,2016-0083,1
Federico Gaio,2016-0083,1
Tobias Kamke,2016-0083,1
Mohamed Safwat,2016-0083,1
Adrien Bossel,2016-0083,1
Maximilian Marterer,2016-0083,1
Yuuya Kibi,2016-0091,6
Yuichi Sugita,2016-0091,5
Shuichi Sekiguchi,2016-0091,4
Ze Zhang,2016-0091,4
Andriej Kapas,2016-0091,4
Luke Saville,2016-0091,3
Matthew Barton,2016-0091,3
Shunrou Takeshima,2016-0091,2
Go Soeda,2016-0091,2
Hiroki Kondo,2016-0091,2
Francesco Vilardo,2016-0091,2
Peter Kobelt,2016-0091,2
Jimmy Wang,2016-0091,2
Lloyd Harris,2016-0091,2
Sho Katayama,2016-0091,2
Hiromasa Oku,2016-0091,1
Benjamin Mitchell,2016-0091,1
Yuichi Ito,2016-0091,1
Takuto Niki,2016-0091,1
Yan Bai,2016-0091,1
Ti Chen,2016-0091,1
Ko Suzuki,2016-0091,1
Toshihide Matsui,2016-0091,1
Alessandro Bega,2016-0091,1
Hiroki Moriya,2016-0091,1
Gengo Kikuchi,2016-0091,1
Ryota Kishi,2016-0091,1
Yuichiro Inui,2016-0091,1
Kazuma Kawachi,2016-0091,1
Marcelo Arevalo,2016-0213,7
Pedja Krstin,2016-0213,5
Caio Zampieri,2016-0213,5
Robin Stanek,2016-0213,4
Albert Montanes,2016-0213,3
Federico Gaio,2016-0213,3
Agustin Velotti,2016-0213,3
Mate Delic,2016-0213,2
Ivan Endara,2016-0213,2
Hans Podlipnik Castillo,2016-0213,2
Andre Ghem,2016-0213,2
Facundo Mena,2016-0213,2
Daniel Elahi Galan,2016-0213,2
Mohamed Safwat,2016-0213,2
Luis David Martinez,2016-0213,1
Reilly Opelka,2016-0213,1
Jordi Samper Montana,2016-0213,1
Divij Sharan,2016-0213,1
Mathias Bourgue,2016-0213,1
Gianni Mina,2016-0213,1
Nikola Milojevic,2016-0213,1
Juan Ignacio Londero,2016-0213,1
Felipe Mantilla,2016-0213,1
Lorenzo Giustino,2016-0213,1
Matteo Donati,2016-0213,1
Lucas Gomez,2016-0213,1
Agustin Moreno,2016-0213,1
Laslo Djere,2016-0213,1
Gianluca Mager,2016-0213,1
Kimmer Coppejans,2016-0221,5
Aslan Karatsev,2016-0221,4
Hubert Hurkacz,2016-0221,4
Pedro Sousa,2016-0221,3
Milos Sekulic,2016-0221,3
Ruben Ramirez Hidalgo,2016-0221,3
Joao Souza,2016-0221,2
Gleb Sakharov,2016-0221,2
Herkko Pollanen,2016-0221,2
Sami Huurinainen,2016-0221,2
Lauri Kiiski,2016-0221,2
Markus Eriksson,2016-0221,2
Alexander Vasilenko,2016-0221,2
Evgeny Karlovskiy,2016-0221,1
Henrik Sillanpaa,2016-0221,1
Patrik Niklas Salminen,2016-0221,1
Germain Gigounon,2016-0221,1
Lorenzo Giustino,2016-0221,1
Clement Geens,2016-0221,1
Frederico Ferreira Silva,2016-0221,1
Joris De Loore,2016-0221,1
Scott Griekspoor,2016-0221,1
Elmar Ejupovic,2016-0221,1
Aleksandr Nedovyesov,2016-0221,1
Alex Kuznetsov,2016-0228,5
Yoshihito Nishioka,2016-0228,5
Frances Tiafoe,2016-0228,4
Adrien Bossel,2016-0228,3
Go Soeda,2016-0228,3
Peter Gojowczyk,2016-0228,3
Dennis Nevolo,2016-0228,3
Ryan Shane,2016-0228,3
Frank Dancevic,2016-0228,2
Rhyne Williams,2016-0228,2
Daniel Hobart,2016-0228,2
Evan King,2016-0228,2
Alexander Sarkissian,2016-0228,2
Eric Quigley,2016-0228,2
Mitchell Krueger,2016-0228,2
Eward Covalschi,2016-0228,1
Nicolas Meister,2016-0228,1
Sam Barry,2016-0228,1
Collin Johns,2016-0228,1
Benjamin Mitchell,2016-0228,1
Austin Smith,2016-0228,1
Daniel Nguyen,2016-0228,1
Marco Chiudinelli,2016-0228,1
Austin Krajicek,2016-0228,1
Andrew Carter,2016-0228,1
John Patrick Smith,2016-0228,1
Takanyi Garanganga,2016-0228,1
Stefan Kozlov,2016-0228,1
Dayne Kelly,2016-0228,1
Facundo Bagnis,2016-0252,5
Nicolas Santos,2016-0252,4
Caio Zampieri,2016-0252,4
Rogerio Dutra Silva,2016-0252,3
Joao Souza,2016-0252,3
Marcelo Zormann Da Silva,2016-0252,3
Santiago Giraldo,2016-0252,2
Fernando Romboli,2016-0252,2
Eduardo Struvay,2016-0252,2
Rafael Matos,2016-0252,2
Jose Hernandez,2016-0252,2
Alejandro Falla,2016-0252,2
Orlando Luz,2016-0252,2
Joao Menezes,2016-0252,1
Guillermo Rivera Aranguiz,2016-0252,1
Alejandro Gonzalez,2016-0252,1
Michel Vernier,2016-0252,1
Facundo Mena,2016-0252,1
Jose Fernando Carvajal Torres,2016-0252,1
Andre Ghem,2016-0252,1
